id_cliente,idade,sexo,renda_mensal,tempo_como_cliente,uso_app_diario,cancelou_servico
1,39,Feminino,4452.017673031837,10,80.09866143294482,1
2,33,Masculino,5277.020458797362,2,45.36803261566876,0
3,41,Feminino,2979.3105657054552,9,49.50528234495099,0
4,50,Masculino,3542.5789422340226,3,58.85445510233719,0
5,32,Feminino,6800.620861916638,2,19.613390069066018,0
6,32,Feminino,4014.658581542906,8,79.05029316259211,0
7,50,Feminino,3429.6335259770904,10,49.04657592845604,0
8,42,Feminino,5804.979128790929,6,77.63713798178217,0
9,30,Masculino,6778.556231994496,6,30.339340089520213,0
10,40,Feminino,6078.4299659976,10,81.3612384511565,0
11,30,Masculino,6494.071528708724,7,60.50310988069566,0
12,30,Feminino,3864.8073671458087,7,56.06080171704717,0
13,37,Feminino,2867.2839998872346,6,49.68048908706296,0
14,15,Feminino,7252.00047793323,4,40.02942763851101,1
15,17,Masculino,4515.980241736796,9,69.01063316947744,0
16,29,Feminino,4623.750475317429,6,47.80719739696094,0
17,24,Masculino,6992.291212773587,4,5.658605928256954,0
18,38,Masculino,5834.34501410099,3,22.65627076585995,0
19,25,Masculino,5683.831658122412,4,41.28308495614505,0
20,20,Masculino,8247.503517351626,3,51.1999796633111,0
21,49,Masculino,4034.7226544297855,2,43.86823022200208,0
22,32,Masculino,6391.760192121856,5,69.37941579587326,0
23,35,Masculino,5085.519687345627,2,5.977962719227506,0
24,20,Masculino,5402.888418294885,6,47.8717587301032,1
25,29,Masculino,7292.702639618798,3,8.640415492256906,1
26,36,Feminino,5761.753634434435,6,60.19424590968337,0
27,23,Feminino,5807.444118574449,10,43.11082571115995,0
28,38,Feminino,6608.761005964703,9,53.392199440482365,1
29,28,Feminino,4452.570905685672,1,27.72234078820468,0
30,32,Feminino,3741.1854989914905,6,70.58929863315502,1
31,28,Masculino,3432.7862089684495,9,65.83449328117703,0
32,53,Masculino,2050.4651159359973,4,56.67088606023775,1
33,34,Masculino,8084.310694910483,2,42.40965506273118,0
34,24,Masculino,3345.187451417475,4,56.59714570590264,1
35,43,Masculino,4668.119564621342,1,30.86214864025302,0
36,22,Masculino,4584.780050166619,3,62.11111318041424,0
37,37,Masculino,5461.110046713651,10,77.98961788647841,1
38,15,Feminino,6223.605818808945,9,66.41221119958372,0
39,21,Feminino,6290.710232539618,10,30.40795060385181,0
40,36,Feminino,4125.3838421465925,5,52.22834634546206,0
41,42,Feminino,4749.317429320383,6,19.137169124827047,0
42,36,Masculino,5423.86992573245,3,56.44780622351352,1
43,33,Masculino,4626.963310724679,5,54.012068257250775,0
44,31,Masculino,7411.018364029989,8,7.603673209356721,0
45,20,Feminino,5736.462427457377,6,21.764323121752724,0
46,27,Masculino,6102.316679074726,4,39.33722206512466,0
47,30,Masculino,5994.321903001119,2,38.98280505718348,0
48,45,Masculino,6760.210786227987,9,20.810461291623895,0
49,38,Feminino,5271.53233805556,1,52.779574587043676,0
50,17,Masculino,3054.75207806623,1,50.02947217881024,1
51,38,Feminino,5599.531927628963,4,41.11461736042961,0
52,31,Feminino,4022.9646593122566,7,29.88416999683274,0
53,28,Feminino,4207.074977375365,1,65.97414252833127,1
54,41,Feminino,5879.54602813264,9,78.1081422617659,0
55,45,Masculino,6857.424607150453,4,35.32877032306926,1
56,44,Feminino,5031.907365104093,3,32.75666165690359,0
57,26,Feminino,5463.249518898446,1,54.82415330823993,1
58,31,Masculino,7553.322416952857,10,37.83941240506027,0
59,38,Masculino,5361.129769232853,4,42.212055986735315,1
60,44,Feminino,8902.524671270592,9,59.79306303449343,0
61,30,Masculino,5848.264468447316,10,6.812878249854144,0
62,33,Feminino,2358.855861266273,6,71.36604649705339,0
63,23,Feminino,6130.012431656799,6,46.453610486586825,0
64,23,Feminino,5571.7375773241665,1,36.770137108756394,0
65,43,Feminino,6934.629131124118,10,43.21531691557102,0
66,48,Masculino,6009.772026904938,2,44.248587100410376,0
67,34,Feminino,4792.31602402434,6,10.375973931101491,0
68,45,Masculino,3163.5526455659515,2,74.89876454906472,0
69,38,Masculino,4686.465114070962,3,45.82651264541237,0
70,28,Masculino,3724.2193186860495,4,53.8600426089475,0
71,38,Masculino,4129.214825292916,5,64.03099541148086,0
72,50,Feminino,5882.867606630914,9,24.576750848793996,0
73,34,Masculino,7504.85675652711,4,54.46943798070457,0
74,50,Feminino,5592.0072947344715,9,39.64717818202413,0
75,8,Masculino,3206.1754069472236,10,61.935415504329875,0
76,43,Masculino,5666.904002330211,3,2.4554515929700926,1
77,35,Feminino,6794.947229968477,8,43.01811399517462,0
78,32,Feminino,4085.325643520927,1,32.943586884320766,0
79,35,Feminino,4798.974249990623,9,53.64525901268311,0
80,15,Masculino,5022.032292093796,9,54.40088374736404,0
81,32,Masculino,3822.6525303766402,10,30.84748210355948,0
82,38,Feminino,5972.420650765788,2,30.75652271647913,0
83,49,Feminino,4818.577777088328,4,42.78669262885341,0
84,29,Feminino,5629.298665860541,8,27.067155453695836,0
85,26,Feminino,3668.76173329685,7,61.83967390904254,0
86,29,Masculino,4343.812549514884,1,37.61585599105108,0
87,44,Feminino,6083.572036741657,5,0.0,0
88,38,Feminino,4440.750271862349,7,37.503558867563875,0
89,29,Feminino,7590.445776850108,4,24.229123583120554,1
90,40,Feminino,4400.545721578096,1,12.37448369078109,0
91,35,Masculino,5337.027088627829,9,20.25146723554855,0
92,44,Feminino,6398.886247809634,5,47.1881694366594,1
93,27,Masculino,2872.4514006004524,2,71.57281656496463,0
94,31,Feminino,2358.786782028836,8,51.2636894772996,0
95,31,Feminino,2711.515528144858,2,32.869932235685205,0
96,20,Masculino,6893.876155140773,3,54.11808390341405,1
97,37,Feminino,4172.21278116133,10,35.81819379562016,0
98,37,Masculino,8837.298928502378,1,31.107992616737107,0
99,35,Masculino,4153.628602013917,2,21.912746635340312,0
100,32,Feminino,5276.826954795555,7,9.96342386496562,1
101,20,Masculino,7313.164928851813,10,37.201525868811096,0
102,30,Masculino,8009.139332238685,2,48.161069798402636,0
103,31,Masculino,8092.255364954597,6,43.067526599702205,1
104,26,Masculino,6812.549345889714,3,36.68066144105283,0
105,33,Masculino,6536.093788717193,4,26.08507878606438,0
106,39,Masculino,5888.7904238017745,8,57.16492383369937,0
107,53,Masculino,6167.541614249956,3,18.657361601068303,0
108,36,Masculino,4173.2214255071995,10,60.52055827686951,1
109,37,Feminino,3772.701674866539,6,24.955659621465504,0
110,34,Feminino,4994.938313883572,1,29.9512952529393,1
111,15,Masculino,4744.723066212608,7,15.66429618768646,0
112,34,Feminino,4320.1579260090875,8,34.97195706228727,0
113,35,Masculino,6044.581171185073,8,64.50624916955958,1
114,59,Masculino,6432.957812855766,3,55.31256176887913,0
115,33,Feminino,5132.610329437771,10,64.5684422405607,0
